Index,I,Q,U,V,QNormalized,UNormalized,VNormalized,DoP,DoLP,DoCP,Orientation,Ellipticity,Eccentricity
0,0.2329463,0.0867187271165808,-0.056886316282389,-0.2053037,0.37226917584259,-0.244203562290489,-0.881334882760533,0.987406144749165,0.445218731768876,0.881334882760533,-0.290286083599398,-0.609828023528192,0.792533773236005
1,0.2331682,0.0865042616298469,-0.0569552591935547,-0.2053791,0.370995108380332,-0.244266839103938,-0.880819511408503,0.986481966792032,0.444188765197819,0.880819511408503,-0.291132276001457,-0.609906081971114,0.79247370377486
2,0.2328813,0.0868939481769588,-0.0567546529997321,-0.205541,0.373125485717225,-0.243706355983637,-0.88259984807711,0.988735509559698,0.445662895065921,0.88259984807711,-0.289292701400402,-0.610515667995245,0.792004178734128
3,0.2330682,0.086946486210801,-0.0566594057163063,-0.2055698,0.373051691353865,-0.24310225812147,-0.882015650354703,0.9880373878535,0.445271009976775,0.882015650354703,-0.288770076454562,-0.610276995986294,0.792188101507429
4,0.2332082,0.0868267023220679,-0.0570917308023237,-0.2055665,0.372314105259026,-0.244810134473504,-0.881472006558946,0.98769564809349,0.445589267056292,0.881472006558946,-0.290827547375842,-0.609766568310182,0.79258105716149
5,0.2331045,0.0869299399121212,-0.0568472132773894,-0.205617,0.372922615874516,-0.243870080918169,-0.882080783511258,0.988236005434714,0.445582645305814,0.882080783511258,-0.289571004390133,-0.610190490578734,0.792254735048825
6,0.2331481,0.0869496681913163,-0.0567685122926434,-0.2056321,0.37293749419925,-0.243486917940328,-0.881980595166763,0.988057702787855,0.445385511425435,0.881980595166763,-0.289201858354146,-0.610204397508424,0.792244023809193
7,0.2335357,0.0866919984802519,-0.0570783664841593,-0.2056917,0.371215186715572,-0.244409597693883,-0.880771976190364,0.986557672077736,0.444451084252433,0.880771976190364,-0.291130262274283,-0.609762411335793,0.792584255282654
8,0.2332225,0.0872845539628862,-0.0567853414340356,-0.205752,0.374254430695521,-0.243481402669278,-0.882213337049384,0.98876182390343,0.446485803067721,0.882213337049384,-0.288390441910759,-0.609901137763245,0.792477508926972
9,0.23342,0.0870844427438104,-0.0566845080070384,-0.2058459,0.373080467585513,-0.242843406764795,-0.881869162882358,0.987853823167065,0.445153855990215,0.881869162882358,-0.288508842505167,-0.610225104563766,0.792228074332222
10,0.2335129,0.0872817255357615,-0.0569421777181028,-0.2058974,0.373776889995206,-0.243850244325272,-0.881738867531515,0.9882487215614,0.446287021043614,0.881738867531515,-0.2890285828505,-0.609656903990792,0.792665414545356
